"date";"Time"
"27/01/2007";27.948387
"28/02/2007";30.628571
"31/03/2007";31.36129
"30/04/2007";27.656667
"31/05/2007";23.270968
"30/06/2007";24.666667
"31/07/2007";21.919355
"31/08/2007";25.412903
"30/09/2007";28.41
"31/10/2007";28.396774
"30/11/2007";26.2
"31/12/2007";28.983871
"31/01/2008";27.222581
"29/02/2008";28.782759
"31/03/2008";27.632258
"30/04/2008";26.336667
"31/05/2008";22.809677
"30/06/2008";22.463333
"31/07/2008";23.993548
"31/08/2008";24.977419
"30/09/2008";23.603333
"31/10/2008";27.158065
"30/11/2008";26.633333
"31/12/2008";27.319355
"31/01/2009";27.835484
"28/02/2009";29.946429
"31/03/2009";29.116129
"30/04/2009";25.98
"31/05/2009";24.945161
"30/06/2009";21.116667
"31/07/2009";21.522581
"31/08/2009";24.558065
"30/09/2009";25.123333
"31/10/2009";25.925806
"30/11/2009";30.323333
"31/12/2009";28.454839
"31/01/2010";29.929032
"28/02/2010";31.385714
"31/03/2010";29.109677
"30/04/2010";25.98
"31/05/2010";23.870968
"30/06/2010";22.48
"31/07/2010";24.229032
"31/08/2010";24.141935
"30/09/2010";25.946667
"31/10/2010";24.945161
"30/11/2010";27.7
"31/12/2010";28.996774
"31/01/2011";30.551613
"28/02/2011";31.171429
"31/03/2011";26.367742
"30/04/2011";27.363333
"31/05/2011";23.032258
"30/06/2011";21.84
"31/07/2011";23.419355
"31/08/2011";24.9
"30/09/2011";25.763333
"31/10/2011";26.554839
"30/11/2011";26.32
"31/12/2011";28.354839
"31/01/2012";27.548387
"29/02/2012";31.289655
"31/03/2012";29.090323
"30/04/2012";26.933333
"31/05/2012";23.0
"30/06/2012";22.35
"31/07/2012";23.63871
"31/08/2012";25.367742
"30/09/2012";27.33
"31/10/2012";29.73871
"30/11/2012";26.936667
"31/12/2012";30.806452
"31/01/2013";27.090323
"28/02/2013";29.989286
"31/03/2013";27.406452
"30/04/2013";25.453333
"31/05/2013";23.645161
"30/06/2013";22.806667
"31/07/2013";21.770968
"31/08/2013";24.9
"30/09/2013";25.57
"31/10/2013";25.56129
"30/11/2013";27.616667
"31/12/2013";29.545161
"31/01/2014";32.880645
"28/02/2014";32.375
"31/03/2014";29.354839
"30/04/2014";26.116667
"31/05/2014";23.364516
"30/06/2014";22.9875
"31/07/2014";21.941379
"31/08/2014";25.103226
"30/09/2014";27.503333
"31/10/2014";29.064516
"30/11/2014";27.75
